,root,d+,d-
GO:0019074,5,1,0
GO:0061738,6,1,0
GO:0035108,6,2,6
GO:1904829,9,2,1
GO:0072715,5,2,0
GO:0030500,6,3,3
GO:0060004,3,1,6
GO:0071826,5,1,2
GO:1900279,12,3,2
GO:0051899,4,1,6
GO:1902943,10,3,0
GO:0048757,5,3,1
GO:0009260,9,3,3
GO:0140965,12,1,0
GO:1901053,8,4,0
GO:0070305,6,3,1
GO:1904531,7,2,0
GO:1905686,8,3,0
GO:0002434,3,1,2
GO:1905751,10,5,0
GO:0090275,11,3,0
GO:1903333,9,3,2
GO:2001169,12,3,3
GO:0120072,12,3,0
GO:0030091,5,1,1
GO:0071029,10,2,4
GO:0032805,8,4,0
GO:1904240,8,3,0
GO:0019042,2,1,2
GO:0061737,6,1,0
GO:0150106,7,2,1
GO:2000857,13,3,1
GO:0003084,7,2,3
GO:0032722,10,3,9
GO:0050687,9,5,1
GO:0006020,6,1,2
GO:0016332,7,2,0
GO:0072162,9,3,0
GO:0001657,10,1,3
GO:1901605,6,3,17
GO:0000082,6,2,3
GO:1902081,11,4,0
GO:0120316,9,4,2
GO:0043420,7,3,0
GO:0001966,3,1,0
GO:1905534,11,5,0
GO:0002278,7,2,1
GO:0042431,5,1,0
GO:0002033,11,3,0
GO:1900060,10,4,1
GO:1900022,10,1,0
GO:2001260,7,2,1
GO:0035315,9,2,3
GO:0007338,4,1,10
GO:2000669,8,3,0
GO:1902859,13,2,0
GO:0032752,10,3,0
GO:0150038,11,2,1
GO:0045063,14,2,4
GO:0015749,7,1,3
GO:0007411,13,2,23
GO:0043534,7,1,4
GO:0071264,13,3,0
GO:0071035,10,1,0
GO:0006625,8,2,0
GO:0021576,10,2,1
GO:0031669,5,2,4
GO:1903976,10,3,3
GO:1903792,7,3,2
GO:0010273,7,2,0
GO:0060585,6,2,0
GO:0006597,8,2,0
GO:1903236,8,3,2
GO:0009415,4,4,3
GO:0120229,7,1,0
GO:1905459,8,2,2
GO:0110031,9,4,0
GO:0006929,4,1,5
GO:1905330,6,2,15
GO:0060251,9,2,3
GO:0031468,8,2,1
GO:0015770,8,1,0
GO:1904023,10,4,2
GO:0045337,8,3,1
GO:0050993,6,1,1
GO:0051783,7,2,4
GO:0048854,8,2,2
GO:1904430,11,4,0
GO:0043248,6,1,2
GO:0002709,7,3,8
GO:2000256,7,4,0
GO:0052031,7,2,1
GO:1902997,8,3,0
GO:0062170,10,1,1
GO:0097528,6,2,0
GO:0034333,7,2,1
GO:1903620,6,3,0
GO:2000290,7,2,1
GO:0043383,11,1,1
GO:0140042,7,3,0
GO:0042058,10,2,2
GO:2000979,12,3,0
GO:0055005,11,2,0
GO:0050870,8,4,9
GO:0034441,8,1,2
GO:0042941,8,4,0
GO:0007043,6,2,7
GO:0034660,7,1,10
GO:0046637,11,3,5
GO:0032262,10,3,1
GO:0021772,11,2,3
GO:0032346,8,6,1
GO:0010816,6,3,0
GO:0061481,3,1,0
GO:0015865,7,1,3
GO:1900149,11,3,1
GO:1990134,7,3,0
GO:0045055,7,1,7
GO:0003180,10,2,1
GO:0110104,10,1,0
GO:0031946,9,3,3
GO:0002041,10,1,0
GO:1902932,7,4,4
GO:0045955,10,3,0
GO:1903825,6,2,2
GO:0019452,11,2,0
GO:0002508,7,1,4
GO:2000043,10,3,0
GO:0050820,5,3,1
GO:0060127,12,2,0
GO:0070345,6,3,0
GO:0002184,8,2,0
GO:1904604,8,2,0
GO:0032224,11,3,1
GO:0090615,9,2,0
GO:0045638,8,3,3
GO:1902732,6,2,0
GO:0140271,9,2,2
GO:0032088,12,1,1
GO:1902947,10,1,2
GO:0046135,8,3,2
GO:0007162,5,3,5
GO:1904344,6,2,1
GO:0001514,11,1,2
GO:1990314,7,1,0
GO:0015706,7,2,0
GO:0042119,6,1,4
GO:0097510,10,1,0
GO:1902656,8,1,1
GO:0002279,6,2,4
GO:0120055,5,1,2
GO:0010629,8,3,11
GO:0021903,9,2,2
GO:1904056,7,3,0
GO:1903596,8,2,2
GO:1903555,9,2,6
GO:0032410,6,3,4
GO:0010662,7,2,3
GO:0010958,9,2,5
GO:0035735,8,2,0
GO:0031145,10,1,2
GO:1990936,5,1,3
GO:1905684,7,2,1
GO:2000063,10,4,0
GO:1990089,4,1,1
GO:0035881,11,2,3
GO:1903076,7,3,4
GO:1903673,8,2,0
GO:1902337,7,2,4
GO:0015883,7,2,1
GO:0042476,5,1,6
GO:0031111,9,3,2
GO:1904151,8,4,0
GO:0009233,4,1,2
GO:0060058,9,2,0
GO:0016137,5,1,5
GO:0032743,10,3,0
GO:1901166,9,2,0
GO:0036085,9,2,0
GO:0010464,5,2,6
GO:1905938,6,4,1
GO:2001111,12,3,0
GO:0015723,8,2,0
GO:0071765,8,1,0
GO:1903463,12,3,1
GO:1990261,8,1,0
GO:0071900,10,1,8
GO:0090199,8,2,2
GO:2000278,8,3,6
GO:0006536,9,2,10
GO:0010692,9,1,2
GO:0008277,6,2,15
GO:0045109,7,2,1
GO:1905605,7,2,0
GO:0043569,10,3,0
GO:1903997,12,2,0
GO:0003016,3,2,3
GO:0070873,7,3,4
GO:1903059,8,4,3
GO:0033504,8,2,1
GO:0031581,7,1,0
GO:2000834,11,2,1
GO:1905397,8,1,3
GO:0000466,11,1,3
GO:0030163,5,3,14
GO:0071500,5,2,1
GO:0098967,11,3,1
GO:0106354,10,2,1
GO:0006428,11,1,0
GO:0001956,11,5,4
GO:0000729,9,2,3
GO:0090387,9,2,1
GO:0003013,3,1,4
GO:0010828,11,3,1
GO:2000403,9,3,2
GO:0015917,7,2,1
GO:0036158,10,1,0
GO:0016477,3,1,26
GO:1903384,12,4,0
GO:0070757,7,1,0
GO:0032197,3,1,1
GO:1902512,10,3,0
GO:0000821,8,2,2
GO:0071298,8,4,0
GO:0045741,12,3,0
GO:0006577,5,2,4
GO:1990603,9,1,0
GO:0034128,16,3,0
GO:0009791,4,2,3
GO:0042278,7,2,4
GO:0061515,7,2,4
GO:0052472,5,1,0
