"ENSEMBL","GO"
"ENSG00000050730","GO:0002756"
"ENSG00000050748","GO:0006468"
"ENSG00000050767","GO:0030198"
"ENSG00000050820","GO:0001558"
"ENSG00000051009","GO:0007032"
"ENSG00000051108","GO:0006511"
"ENSG00000051128","GO:0006605"
"ENSG00000051180","GO:0000722"
"ENSG00000051341","GO:0006261"
"ENSG00000051382","GO:0001935"
"ENSG00000051523","GO:0006801"
"ENSG00000051596","GO:0006397"
"ENSG00000051825","GO:1902018"
"ENSG00000052126","GO:0008150"
"ENSG00000052344","GO:0006508"
"ENSG00000052749","GO:0006364"
"ENSG00000052795","GO:0000122"
"ENSG00000052802","GO:0006631"
"ENSG00000052841","GO:0030041"
"ENSG00000052850","GO:0001501"
"ENSG00000053108","GO:0007275"
"ENSG00000053254","GO:0006355"
"ENSG00000053328","GO:0032259"
"ENSG00000053371","GO:0005975"
"ENSG00000053372","GO:0000027"
"ENSG00000053438","GO:0007420"
"ENSG00000053501","GO:0006890"
"ENSG00000053524","GO:0048583"
"ENSG00000053702","GO:0000122"
"ENSG00000053747","GO:0008544"
"ENSG00000053770","GO:0015031"
"ENSG00000053900","GO:0007049"
"ENSG00000053918","GO:0001698"
"ENSG00000054116","GO:0006888"
"ENSG00000054118","GO:0000381"
"ENSG00000054148","GO:0006470"
"ENSG00000054179","GO:0007186"
"ENSG00000054219","GO:0006897"
"ENSG00000054267","GO:0000122"
"ENSG00000054277","GO:0007186"
"ENSG00000054282","GO:0001764"
"ENSG00000054356","GO:0000302"
"ENSG00000054392","GO:0007224"
"ENSG00000054523","GO:0006915"
"ENSG00000054598","GO:0000122"
"ENSG00000054611","GO:0090630"
"ENSG00000054654","GO:0007097"
"ENSG00000054793","GO:0006890"
"ENSG00000054796","GO:0000706"
"ENSG00000054803","GO:0009306"
"ENSG00000054938","GO:0001503"
"ENSG00000054965","GO:1905053"
"ENSG00000054967","GO:0006915"
"ENSG00000054983","GO:0006683"
"ENSG00000055044","GO:0006364"
"ENSG00000055118","GO:0003064"
"ENSG00000055130","GO:0000082"
"ENSG00000055147","GO:0008150"
"ENSG00000055163","GO:0000902"
"ENSG00000055208","GO:0006954"
"ENSG00000055332","GO:0001819"
"ENSG00000055483","GO:0006325"
"ENSG00000055609","GO:0006338"
"ENSG00000055732","GO:0007626"
"ENSG00000055813","GO:0008150"
"ENSG00000055917","GO:0001501"
"ENSG00000055950","GO:0006412"
"ENSG00000055955","GO:0006953"
"ENSG00000055957","GO:0030212"
"ENSG00000056050","GO:0006281"
"ENSG00000056277","GO:0006355"
"ENSG00000056291","GO:0007186"
"ENSG00000056558","GO:0006915"
"ENSG00000056586","GO:0000209"
"ENSG00000056736","GO:0001558"
"ENSG00000056972","GO:0001768"
"ENSG00000056998","GO:0005978"
"ENSG00000057019","GO:0030308"
"ENSG00000057149","GO:0008284"
"ENSG00000057252","GO:0008203"
"ENSG00000057294","GO:0002159"
"ENSG00000057468","GO:0001541"
"ENSG00000057593","GO:0001666"
"ENSG00000057608","GO:0007165"
"ENSG00000057657","GO:0000122"
"ENSG00000057663","GO:0000045"
"ENSG00000057757","GO:0007286"
"ENSG00000057935","GO:0000086"
"ENSG00000058056","GO:0006355"
"ENSG00000058063","GO:0006811"
"ENSG00000058085","GO:0007155"
"ENSG00000058091","GO:0000083"
"ENSG00000058262","GO:0006613"
"ENSG00000058272","GO:0000278"
"ENSG00000058335","GO:0007165"
"ENSG00000058404","GO:0006468"
"ENSG00000058453","GO:0007098"
"ENSG00000058600","GO:0042797"
"ENSG00000058668","GO:0003407"
"ENSG00000058673","GO:0016973"
"ENSG00000058729","GO:0007049"
"ENSG00000058799","GO:0016192"
"ENSG00000058804","GO:0006913"
"ENSG00000058866","GO:0006654"
"ENSG00000059122","GO:0000122"
"ENSG00000059145","GO:0016567"
"ENSG00000059377","GO:0001516"
"ENSG00000059378","GO:0070213"
"ENSG00000059573","GO:0006536"
"ENSG00000059588","GO:0006357"
"ENSG00000059691","GO:0032543"
"ENSG00000059728","GO:0000122"
"ENSG00000059758","GO:0000083"
"ENSG00000059769","GO:0006457"
"ENSG00000059804","GO:0005975"
"ENSG00000059915","GO:0007165"
"ENSG00000060069","GO:0006357"
"ENSG00000060138","GO:0000122"
"ENSG00000060140","GO:0006468"
"ENSG00000060237","GO:0002028"
"ENSG00000060339","GO:0006511"
