,root,d+,d-
GO:0070874,4,5,2
GO:2000361,5,1,1
GO:0051561,7,1,0
GO:0072278,4,2,2
GO:0097193,4,2,10
GO:0001756,3,5,7
GO:0009222,6,3,5
GO:0021897,5,2,0
GO:0014070,4,1,54
GO:0016444,7,1,1
GO:1900205,4,2,2
GO:0099500,3,2,1
GO:0090301,4,3,0
GO:0043111,7,2,0
GO:0061078,4,2,0
GO:0050768,4,4,5
GO:0006582,3,3,1
GO:0010970,4,3,4
GO:0044650,5,1,1
GO:0019677,7,3,1
GO:0009249,5,2,0
GO:0032915,5,3,0
GO:0002194,4,1,0
GO:2000567,6,2,1
GO:0021626,4,2,1
GO:1904257,4,2,0
GO:0032660,4,2,3
GO:0032272,5,3,2
GO:0061141,6,1,3
GO:0060249,3,1,1
GO:0016117,4,3,1
GO:0035116,6,2,0
GO:0006808,4,2,3
GO:0035246,6,1,1
GO:0045054,4,1,3
GO:0032677,4,2,2
GO:0098705,6,2,0
GO:0043280,9,2,3
GO:0034329,5,2,6
GO:0007624,2,1,0
GO:0042692,4,2,7
GO:0046204,7,1,0
GO:1903599,5,4,1
GO:0071505,4,2,1
GO:0048840,3,2,2
GO:1904715,5,4,0
GO:0046337,6,1,4
GO:0051664,3,3,0
GO:0106288,5,2,1
GO:1902858,5,1,2
GO:0007015,4,2,10
GO:0016124,9,2,2
GO:0002732,5,4,1
GO:0150102,4,2,0
GO:1901566,4,2,42
GO:0061868,6,1,2
GO:0017004,6,1,3
GO:0035340,7,1,0
GO:0061050,4,3,2
GO:0006307,6,1,0
GO:0001763,2,2,3
GO:1990869,6,2,1
GO:0002790,5,2,4
GO:1905941,3,5,2
GO:1904177,3,2,2
GO:0001990,4,2,5
GO:0009067,6,3,5
GO:0060134,4,2,0
GO:0035194,7,2,6
GO:0034643,4,2,1
GO:0140212,6,2,3
GO:0072305,5,5,0
GO:0090367,6,3,0
GO:1903800,5,5,2
GO:0001879,5,2,0
GO:0060550,7,2,0
GO:0051666,3,1,0
GO:0030336,4,3,12
GO:1903299,6,1,3
GO:0022010,5,3,2
GO:1901082,4,3,1
GO:0060847,4,2,1
GO:0097327,3,1,0
GO:1905153,4,2,3
GO:0006521,4,4,8
GO:0120221,6,1,0
GO:0010609,5,2,0
GO:0071166,3,1,2
GO:0061431,5,5,0
GO:0070925,5,2,15
GO:0046340,7,2,0
GO:0032873,6,4,0
GO:0071294,6,2,0
GO:0021870,5,1,0
GO:0051781,3,3,2
GO:1904863,5,2,1
GO:0016264,7,1,3
GO:0051134,7,3,1
GO:0018125,5,2,0
GO:0034346,4,3,0
GO:0031023,3,3,3
GO:0002514,3,1,4
GO:1903526,4,3,0
GO:1905154,4,3,1
GO:0098838,4,3,2
GO:0043489,4,2,3
GO:0002663,4,3,1
GO:0090261,4,4,1
GO:0072709,6,2,0
GO:1990758,5,2,0
GO:0016601,6,1,3
GO:0070527,4,2,3
GO:0006793,3,1,14
GO:0061009,4,2,1
GO:0021910,5,2,3
GO:0007622,3,1,1
GO:0018400,4,5,0
GO:0031055,8,1,1
GO:0090022,5,3,2
GO:0043242,4,3,3
GO:0016269,7,1,0
GO:0038009,4,2,0
GO:0071663,4,3,0
GO:0050942,3,4,1
GO:0007610,2,1,24
GO:0060674,4,2,3
GO:0021550,3,2,4
GO:0006771,5,2,1
GO:0140450,5,3,0
GO:0000388,6,2,0
GO:0060447,5,2,0
GO:0006979,3,1,7
GO:1900376,4,3,3
GO:0046039,7,2,1
GO:0032784,7,2,3
GO:0030865,6,1,3
GO:0010610,4,2,0
GO:0043007,7,1,0
GO:0140056,3,2,5
GO:0042311,6,1,4
GO:0006271,7,2,3
GO:0071922,4,3,0
GO:2000510,5,4,1
GO:0097479,4,1,2
GO:0009233,4,1,2
GO:0030509,6,2,3
GO:0030855,4,2,24
GO:1901846,5,3,0
GO:0043605,3,2,4
GO:0038134,8,2,0
GO:0110026,5,2,0
GO:0070230,6,3,2
GO:0045779,5,3,0
GO:0061227,4,2,1
GO:0051385,6,1,4
GO:0071479,5,2,2
GO:0070509,8,1,4
GO:0048688,4,5,1
GO:0015742,8,1,1
GO:0045226,6,2,0
GO:0008333,3,2,3
GO:0051642,3,1,2
GO:0044242,4,3,6
GO:0010951,7,2,4
GO:1903512,6,2,0
GO:2001224,5,3,1
